iter,objective,fw_gap,delta_norm,gamma,e_star
29,-47773.4405610998,3.0719877833e+03,0.7536892170,0.0010416667,3
30,-47708.9991802972,6.6366834312e+00,0.7538660059,0.0005040323,2
31,-47763.2497589543,3.0822838838e+03,0.7556265288,0.0078125000,3
32,-47769.0874135274,3.0764397224e+03,0.7562871575,0.0018939394,3
33,-47770.5012147425,3.0749977678e+03,0.7564471535,0.0004595588,3
34,-47736.4703094318,2.1582984113e+05,0.7566025067,0.0004464286,2
35,-47761.4607382542,3.0840749965e+03,0.7581484125,0.0069444444,3
36,-47766.6703206984,3.0788588165e+03,0.7587333619,0.0016891892,3
37,-47769.2020098148,3.0738457249e+03,0.7590176589,0.0008223684,3
38,-47709.0825799955,6.4528230773e+00,0.7591560486,0.0004006410,2
39,-47765.7533066193,3.0797798739e+03,0.7598437264,0.0031250000,3
40,-47768.1006748202,3.0772188327e+03,0.7601063748,0.0007621951,3
41,-47709.1005074962,7.7883962669e+00,0.7602344745,0.0003720238,2
42,-47734.2013376802,3.1121464624e+05,0.7608710398,0.0029069767,3
43,-47767.0820786606,3.0784005584e+03,0.7611150508,0.0007102273,3
44,-47709.1167951283,1.0635193912e+01,0.7612342603,0.0003472222,2
45,-47767.1343263922,3.0837731870e+03,0.7613823436,0.0006793478,3
46,-47709.1186107327,7.4254401351e-01,0.7616104395,0.0006648936,10
47,-47763.8329947743,3.0817006243e+03,0.7670298859,0.0416666667,3
48,-47771.6944482153,3.0736660163e+03,0.7678906221,0.0025510204,3
49,-47709.0339237703,9.5939016987e+00,0.7679957933,0.0003125000,2
50,-47757.9462963703,3.0876010901e+03,0.7700665496,0.0098039216,3
51,-47765.3683922542,3.0801642787e+03,0.7708703283,0.0024038462,3
52,-47769.0005553448,3.0748035045e+03,0.7712636869,0.0011792453,3
53,-47709.0888190236,6.4909748983e+00,0.7713600917,0.0002893519,2
54,-47766.4873844878,3.0790396982e+03,0.7718324845,0.0022727273,3
55,-47768.2054231038,3.0754273855e+03,0.7720180905,0.0005580357,3
56,-47709.1017740841,7.7427389355e+00,0.7721092145,0.0002741228,2
57,-47765.8235123921,3.0797883323e+03,0.7725555587,0.0021551724,3
58,-47767.4547059812,3.0777774456e+03,0.7727313442,0.0005296610,3
59,-47709.1142331243,1.6417526654e+01,0.7728177262,0.0002604167,2
60,-47766.7204420978,3.1145267798e+03,0.7730291967,0.0010245902,3
61,-47767.4990976341,3.0485038481e+03,0.7731127172,0.0002520161,3
62,-47709.1188216165,4.3524336986e+00,0.7731948913,0.0002480159,2
63,-47651.6553036456,1.6391993782e+05,0.7732451886,0.0002441406,1
64,-47763.9874692825,3.0815459818e+03,0.8605058729,0.0307692308,3
65,-47769.8237203980,3.0756734567e+03,0.8609678664,0.0018939394,3
66,-47770.5409787565,3.0747146799e+03,0.8610246460,0.0002332090,3
67,-47720.4158506262,2.1589730614e+05,0.8610805775,0.0002297794,2
68,-47760.3860839562,3.0851723868e+03,0.8619366090,0.0072463768,3
69,-47765.8952903422,3.0796363886e+03,0.8623696480,0.0017857143,3
70,-47768.6060573974,3.0725959309e+03,0.8625827368,0.0008802817,3
71,-47709.0973431628,6.7568231105e+00,0.8626352228,0.0002170139,2
72,-47766.7107616209,3.0788114861e+03,0.8628348422,0.0017123288,3
73,-47768.0108270226,3.0756418514e+03,0.8629368708,0.0004222973,3
74,-47709.1069934941,7.9683261578e+00,0.8629871836,0.0002083333,2
75,-47766.1910233388,3.0795477435e+03,0.8631783444,0.0016447368,3
76,-47767.4407485693,3.0774391786e+03,0.8632762584,0.0004058442,3
77,-47709.1190132886,2.4201931795e+02,0.8633245681,0.0002003205,2
78,-47760.5545204336,3.1089997326e+05,0.8634162520,0.0007911392,3
79,-47767.4580881109,4.4264692732e+03,0.8634633266,0.0001953125,2
